phase,target,variable,lags
Phase 7,7-day incidence,7-day incidence of hospitalizations,"1, 3, 7"
Phase 7,7-day incidence,Ratio of occupied ICU beds,"10, 15"
Phase 7,7-day incidence,7-day incidence,"1, 3, 7"
Phase 7,7-day incidence,Ratio of positive rapid antigen tests,"2, 5, 7"
Phase 7,7-day incidence of hospitalizations,7-day incidence of hospitalizations,"3, 4, 7"
Phase 7,7-day incidence of hospitalizations,Ratio of occupied ICU beds,"1, 15"
Phase 7,7-day incidence of hospitalizations,Ratio of positive rapid antigen tests,"6, 8"
Phase 7,Ratio of occupied ICU beds,7-day incidence of hospitalizations,"4, 7, 15, 17, 18, 19, 21"
Phase 7,Ratio of occupied ICU beds,Ratio of occupied ICU beds,"1, 2, 4, 5, 7, 8, 14, 20"
Phase 7,Ratio of occupied ICU beds,7-day incidence,"1, 3, 5, 7, 8, 11, 19, 20, 21"
Phase 7,Ratio of occupied ICU beds,Ratio of positive rapid antigen tests,"4, 6, 10, 14, 16, 21"
Phase 8,7-day incidence,7-day incidence of hospitalizations,"1, 2, 4, 5, 6, 7, 8, 14, 15, 17, 20, 21"
Phase 8,7-day incidence,Ratio of occupied ICU beds,"1, 3, 5, 10, 11, 12, 13, 15, 18, 21"
Phase 8,7-day incidence,7-day incidence,"3, 7, 8, 10, 11, 13, 14, 16, 18, 20, 21"
Phase 8,7-day incidence,Ratio of positive rapid antigen tests,"1, 2, 4, 5, 6, 8, 9, 11, 13, 14, 15, 17, 20, 21"
Phase 8,7-day incidence of hospitalizations,7-day incidence of hospitalizations,"1, 2, 4, 5, 6, 7, 8, 14, 15, 17, 20, 21"
Phase 8,7-day incidence of hospitalizations,Ratio of occupied ICU beds,"1, 5, 8, 11, 12, 13, 15, 21"
Phase 8,7-day incidence of hospitalizations,7-day incidence,"1, 2, 8, 12, 13, 14, 16, 20, 21"
Phase 8,7-day incidence of hospitalizations,Ratio of positive rapid antigen tests,"1, 2, 4, 5, 6, 8, 9, 11, 15, 17, 19, 20, 21"
Phase 8,Ratio of occupied ICU beds,7-day incidence of hospitalizations,"2, 4, 5, 8, 10, 14, 21"
Phase 8,Ratio of occupied ICU beds,Ratio of occupied ICU beds,"1, 4, 7, 8, 9, 14, 21"
Phase 8,Ratio of occupied ICU beds,7-day incidence,"3, 7, 9, 17"
Phase 8,Ratio of occupied ICU beds,Ratio of positive rapid antigen tests,"1, 2, 6, 7, 8, 10, 12, 19, 20"
